Segment1_ID	Segment2_ID	Direction	Weight
1	4	1	1
1	5	1	1
1	2	2	1
1	3	2	1
4	6	1	1
5	8	1	1
4	1	2	1
6	7	1	1
6	4	2	1
7	8	1	1
5	1	2	1
7	6	2	1
8	9	1	1
8	10	1	1
8	5	2	1
8	7	2	1
11	17	1	1
11	18	1	1
12	17	1	1
12	18	1	1
14	19	1	1
15	20	1	1
11	26	2	1
12	13	2	1
17	21	1	1
18	22	1	1
14	16	2	1
14	27	2	1
19	23	1	1
19	24	1	1
15	16	2	1
15	27	2	1
20	23	1	1
20	24	1	1
17	11	2	1
17	12	2	1
21	25	1	1
21	28	1	1
18	11	2	1
18	12	2	1
22	25	1	1
22	28	1	1
19	14	2	1
20	15	2	1
23	29	1	1
24	30	1	1
21	17	2	1
22	18	2	1
23	19	2	1
23	20	2	1
24	19	2	1
24	20	2	1
2	1	1	1
16	14	1	1
16	15	1	1
3	1	1	1
13	12	1	1
9	8	2	1
25	21	2	1
25	22	2	1
10	8	2	1
26	11	1	1
27	14	1	1
27	15	1	1
28	21	2	1
28	22	2	1
29	23	2	1
30	24	2	1
