episode,node_id,train_id,block,init_arr_time,init_dep_time,final_arr_time,final_dep_time,arr_delay_sec,dep_delay_sec
1,1,A,13,06:59:39,07:02:14,06:59:39,07:02:14,0,0
1,2,A,3,06:59:39,07:02:14,06:59:39,07:02:14,0,0
1,3,A,12,07:01:30,07:02:41,07:01:30,07:02:41,0,0
1,4,A,1,07:01:30,07:02:41,07:01:30,07:02:41,0,0
1,5,A,17,07:01:33,07:10:02,07:01:33,07:10:02,0,0
1,6,A,5,07:01:33,07:10:02,07:01:33,07:10:02,0,0
1,7,A,21,07:09:07,07:10:15,07:09:07,07:10:15,0,0
1,8,A,8,07:09:07,07:10:15,07:09:07,07:10:15,0,0
1,9,A,25,07:09:13,07:10:50,07:09:13,07:10:50,0,0
1,10,A,9,07:09:13,07:10:50,07:09:13,07:10:50,0,0
1,11,B,2,06:59:39,07:03:39,07:01:39,07:05:39,120,120
1,12,B,26,06:59:39,07:03:39,07:01:39,07:05:39,120,120
1,13,B,11,07:02:10,07:04:00,07:04:00,07:05:50,110,110
1,14,B,1,07:02:10,07:04:00,07:04:00,07:05:50,110,110
1,15,B,18,07:02:15,07:10:01,07:05:50,07:13:36,215,215
1,16,B,4,07:02:15,07:04:05,07:05:50,07:07:40,215,215
1,17,B,6,07:02:15,07:10:01,07:05:50,07:13:36,215,215
1,18,B,22,07:08:25,07:10:01,07:13:36,07:15:12,311,311
1,19,B,7,07:08:25,07:09:36,07:13:36,07:14:47,311,311
1,20,B,8,07:08:25,07:10:01,07:13:36,07:15:12,311,311
1,21,B,25,07:08:57,07:10:53,07:15:12,07:17:08,375,375
1,22,B,9,07:08:57,07:10:53,07:15:12,07:17:08,375,375
1,23,C,29,06:59:30,07:00:02,07:01:30,07:02:02,120,120
1,24,C,9,06:59:30,07:00:02,07:01:30,07:02:02,120,120
1,25,C,23,06:59:30,07:00:31,07:02:02,07:02:33,122,122
1,26,C,8,06:59:30,07:00:31,07:02:02,07:02:33,122,122
1,27,C,20,06:59:30,07:06:01,07:02:33,07:09:04,183,183
1,28,C,5,06:59:30,07:06:01,07:02:33,07:09:04,183,183
1,29,C,15,07:04:39,07:06:01,07:09:04,07:10:26,265,265
1,30,C,1,07:04:39,07:06:01,07:09:04,07:10:26,265,265
1,31,C,27,07:05:15,07:06:49,07:10:26,07:12:00,271,271
1,32,C,3,07:05:15,07:06:49,07:10:26,07:12:00,271,271
