
episode,node_id,train_id,block,init_arr_time,init_dep_time,final_arr_time,final_dep_time,arr_delay_sec,dep_delay_sec
1,0,start,0,00:00:00,00:00:00,00:00:00,00:00:00,0,0
1,1,A,29,12:01:09,12:01:43,12:01:09,12:01:43,0,0
1,2,A,9,12:01:09,12:01:43,12:01:43,12:02:17,34,34
1,3,A,23,12:01:09,12:02:01,12:02:17,12:21:27,68,1166
1,4,A,8,12:01:09,12:02:01,12:21:27,12:22:19,1218,1218
1,5,A,20,12:01:09,12:04:41,12:22:19,12:25:51,1270,1270
1,6,A,5,12:01:09,12:04:41,12:25:51,12:29:23,1482,1482
1,7,A,15,12:03:57,12:05:03,12:29:23,12:30:29,1526,1526
1,8,A,1,12:03:57,12:05:03,12:30:29,12:31:35,1592,1592
1,9,A,27,12:04:03,12:05:13,12:31:35,12:32:45,1652,1652
1,10,A,3,12:04:03,12:07:10,12:32:45,12:35:52,1722,1722
1,11,B,30,11:58:07,11:58:49,11:58:07,11:58:49,0,0
1,12,B,10,11:58:07,11:58:49,11:58:49,11:59:31,42,42
1,13,B,24,11:58:07,11:59:15,11:59:31,12:21:27,84,1332
1,14,B,8,11:58:07,11:59:15,12:21:27,12:22:35,1400,1400
1,15,B,20,11:58:07,12:03:55,12:22:35,12:28:23,1468,1468
1,16,B,5,11:58:07,12:03:55,12:28:23,12:34:11,1816,1816
1,17,B,15,12:02:50,12:04:16,12:34:11,12:35:37,1881,1881
1,18,B,1,12:02:50,12:04:16,12:35:37,12:37:03,1967,1967
1,19,B,27,12:02:56,12:04:40,12:37:03,12:38:47,2047,2047
1,20,B,3,12:02:56,12:08:05,12:38:47,12:43:56,2151,2151
1,21,C,13,11:58:07,11:58:43,11:58:07,11:58:43,0,0
1,22,C,3,11:58:07,11:58:43,11:58:43,11:59:19,36,36
1,23,C,12,11:58:07,11:59:04,11:59:19,12:00:16,72,72
1,24,C,1,11:58:07,11:59:04,12:00:16,12:01:13,129,129
1,25,C,18,11:58:07,12:05:20,12:01:13,12:08:26,186,186
1,26,C,4,11:58:07,11:59:09,12:08:26,12:09:28,619,619
1,27,C,6,11:58:07,12:05:20,12:09:28,12:16:41,681,681
1,28,C,22,12:04:13,12:05:20,12:16:41,12:17:48,748,748
1,29,C,7,12:04:13,12:04:45,12:17:48,12:18:20,815,815
1,30,C,8,12:04:13,12:05:20,12:18:20,12:19:27,847,847
1,31,C,25,12:04:33,12:08:22,12:19:27,12:23:16,894,894
1,32,C,9,12:04:33,12:08:22,12:23:16,12:27:05,1123,1123
1,33,end,0,00:00:00,00:00:00,00:00:00,00:00:00,0,0
